City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Yüksekova,20,TR,1620236767,42,37.5736,44.2872,64.4,9.22
Tautira,20,PF,1620236767,74,-17.7333,-149.15,80.6,2.3
Voznesen'ye,47,RU,1620236767,84,61.0106,35.4781,32.34,3.31
Chokurdakh,100,RU,1620236768,97,70.6333,147.9167,26.26,4.7
Geraldton,90,AU,1620236768,94,-28.7667,114.6,64.4,10.36
Petropavlovsk-Kamchatskiy,5,RU,1620236768,93,53.0452,158.6483,28.4,2.24
Lebu,0,CL,1620236768,58,-37.6167,-73.65,60.78,6.82
Mayo,75,US,1620236769,78,38.8876,-76.5119,77.0,10.36
Alofi,90,NU,1620236769,100,-19.0595,-169.9187,77.0,9.22
Energetik,44,RU,1620236769,49,51.7445,58.7934,51.19,15.23
Okha,100,RU,1620236770,97,53.5739,142.9478,30.15,21.65
Cancún,75,MX,1620236492,66,21.1743,-86.8466,87.8,18.41
Abhā,40,SA,1620236581,52,18.2164,42.5053,71.6,4.05
Hong Kong,98,HK,1620236734,85,22.2855,114.1577,77.0,1.01
Ixtapa,1,MX,1620236770,57,20.7,-105.2,80.6,6.91
Port Alfred,100,ZA,1620236770,76,-33.5906,26.891,68.47,4.38
Belaya Gora,100,RU,1620236771,96,68.5333,146.4167,27.01,4.34
Bandarbeyla,2,SO,1620236771,69,9.4942,50.8122,84.34,10.11
Dresden,40,DE,1620236771,57,51.0509,13.7383,48.99,13.8
Tutóia,40,BR,1620236771,70,-2.7619,-42.2744,87.8,9.22
Lingyuan,51,CN,1620236772,18,41.24,119.4011,60.84,15.1
Coyhaique,90,CL,1620236772,93,-45.5752,-72.0662,35.6,5.75
Sumenep,100,ID,1620236772,82,-7.0167,113.8667,80.53,6.58
Saint Paul Harbor,90,US,1620236772,87,57.79,-152.4072,37.4,10.36
Palmer,90,US,1620236773,87,42.1584,-72.3287,55.0,1.1
Thompson,75,CA,1620236773,48,55.7435,-97.8558,37.4,14.97
Bud,1,US,1620236773,51,39.447,-86.1758,59.0,11.5
Havelock,40,US,1620236773,48,34.8791,-76.9013,84.99,16.11
Kattivākkam,20,IN,1620236774,74,13.2167,80.3167,87.01,6.91
Bourail,0,NC,1620236774,87,-21.5667,165.4833,69.48,2.3
Provideniya,4,RU,1620236774,48,64.3833,-173.3,30.79,3.38
Zhuhai,40,CN,1620236775,94,22.2769,113.5678,77.0,18.41
Moyale,91,KE,1620236775,75,3.5167,39.0584,71.44,8.72
Ponta do Sol,40,PT,1620236775,56,32.6667,-17.1,68.0,11.5
Ibipeba,100,BR,1620236775,45,-11.6408,-42.0111,81.55,7.81
Broome,90,US,1620236776,93,42.2506,-75.833,52.0,16.11
Langxiang,47,CN,1620236776,94,46.95,128.8833,37.53,2.82
Flinders,98,AU,1620236776,96,-34.5833,150.8552,64.99,5.01
Alta Floresta,40,BR,1620236776,55,-9.8756,-56.0861,91.4,5.75
Snåase,0,NO,1620236777,34,64.2457,12.3778,46.4,12.66
Rocha,87,UY,1620236777,55,-34.4833,-54.3333,57.6,9.22
Mīnāb,0,IR,1620236777,57,27.1467,57.0801,82.4,2.3
Mayumba,99,GA,1620236778,83,-3.432,10.6554,79.14,4.97
Husavik,90,IS,1620236778,60,66.0449,-17.3389,35.6,8.05
Makakilo City,1,US,1620236778,78,21.3469,-158.0858,75.2,4.61
George Town,40,MY,1620236713,89,5.4112,100.3354,79.0,5.75
Olafsvik,17,IS,1620236778,54,64.8945,-23.7142,39.45,7.29
Shahreza,80,IR,1620236779,40,32.0339,51.8794,64.99,8.55
Leningradskiy,100,RU,1620236779,82,69.3833,178.4167,13.66,5.14
Sambava,7,MG,1620236779,83,-14.2667,50.1667,77.9,1.81
Ahipara,2,NZ,1620236779,87,-35.1667,173.1667,52.3,4.59
Saskylakh,100,RU,1620236780,96,71.9167,114.0833,26.33,5.95
Meulaboh,100,ID,1620236780,92,4.1363,96.1285,75.58,1.68
São João da Barra,20,BR,1620236780,48,-21.6403,-41.0511,86.0,4.61
Toyooka,8,JP,1620236780,76,35.5333,134.8333,50.13,4.29
Ribeira Grande,40,PT,1620236781,94,38.5167,-28.7,64.4,13.8
Esim,94,GH,1620236781,78,4.8699,-2.2405,82.06,10.78
Sinnamary,99,GF,1620236781,78,5.3833,-52.95,81.48,5.44
Ćićevac,0,RS,1620236781,37,43.7188,21.4408,69.8,6.91
Vestmanna,75,FO,1620236782,70,62.1564,-7.1664,39.2,24.16
Ambrolauri,0,GE,1620236782,87,42.5211,43.1622,53.6,4.61
Santa Fe,29,AR,1620236546,42,-31.6333,-60.7,64.0,5.99
Immokalee,75,US,1620236782,40,26.4187,-81.4173,95.0,8.05
Aklavik,90,CA,1620236783,86,68.2191,-135.0107,24.8,8.05
Rockport,1,US,1620236783,47,28.0206,-97.0544,80.6,10.36
Villa María,78,AR,1620236783,54,-32.4075,-63.2402,60.01,3.0
Severo-Yeniseyskiy,100,RU,1620236783,98,60.3725,93.0408,28.8,1.43
Montrose,14,US,1620236784,33,38.4166,-108.2673,61.0,8.99
Chase,89,CA,1620236784,66,50.8165,-119.6857,57.99,3.44
Treuchtlingen,20,DE,1620236784,61,48.95,10.9167,46.99,11.5
Ilulissat,75,GL,1620236784,86,69.2167,-51.1,28.4,6.91
Kaitangata,14,NZ,1620236785,88,-46.2817,169.8464,44.11,6.89
Faanui,41,PF,1620236785,75,-16.4833,-151.75,82.56,13.4
Iquitos,75,PE,1620236697,94,-3.7481,-73.2472,77.0,9.22
Nome,1,US,1620236785,69,64.5011,-165.4064,28.4,3.22
Murdochville,100,CA,1620236786,54,48.9583,-65.5006,51.8,11.5
Niquero,20,CU,1620236786,61,20.0431,-77.5828,85.95,7.83
Onega,98,RU,1620236786,72,63.9061,38.1404,32.36,7.61
Kailua,40,US,1620236786,73,21.4022,-157.7394,75.2,9.22
Castro,37,BR,1620236787,39,-24.7911,-50.0119,78.3,6.85
Ust-Nera,100,RU,1620236787,94,64.5667,143.2,29.41,4.68
Suntar,53,RU,1620236787,99,62.1444,117.6319,29.28,1.05
Laas,0,IT,1620236787,60,46.6166,10.7002,55.4,6.91
Sitka,75,US,1620236788,76,57.0531,-135.33,44.6,4.61
Cidreira,100,BR,1620236788,92,-30.1811,-50.2056,59.68,6.67
South Venice,1,US,1620236788,74,27.0531,-82.4243,86.0,14.97
Buraidah,0,SA,1620236788,25,26.326,43.975,87.8,5.75
Iqaluit,90,CA,1620236635,80,63.7506,-68.5145,35.6,6.91
Mahon,20,ES,1620236789,77,39.8885,4.2658,62.6,10.36
Isangel,1,VU,1620236789,84,-19.55,169.2667,75.02,4.92
Yashkul',67,RU,1620236789,38,46.1711,45.3435,59.0,6.71
Kazachinskoye,100,RU,1620236790,97,57.6953,93.2761,40.42,3.85
Soe,24,ID,1620236662,93,-9.8607,124.284,63.97,4.29
Kaabong,94,UG,1620236790,63,3.4836,34.1492,71.24,4.9
Tyukhtet,31,RU,1620236790,71,56.5389,89.3011,48.36,12.1
Severo-Kuril'sk,70,RU,1620236790,87,50.6789,156.125,33.58,7.49
Paraná,28,AR,1620236556,41,-31.732,-60.5238,64.0,11.01
Jalu,90,LY,1620236791,11,29.0331,21.5482,97.14,10.67
Lorengau,37,PG,1620236791,83,-2.0226,147.2712,79.97,2.64
Takhtamygda,97,RU,1620236791,96,54.1,123.5667,32.23,3.06
Richards Bay,5,ZA,1620236792,88,-28.783,32.0377,66.4,5.21
Tarján,100,HU,1620236792,79,47.6104,18.5107,46.99,14.0
Tuatapere,46,NZ,1620236792,87,-46.1333,167.6833,44.01,4.72
Ketchikan,75,US,1620236792,87,55.3422,-131.6461,44.6,2.71
Mananara,10,MG,1620236793,94,-16.1667,49.7667,75.24,2.86
Tiksi,100,RU,1620236793,96,71.6872,128.8694,25.86,11.14
Torbay,20,CA,1620236793,75,47.6666,-52.7314,48.0,13.8
Pevek,100,RU,1620236793,81,69.7008,170.3133,26.35,4.83
Río Gallegos,0,AR,1620236794,50,-51.6226,-69.2181,53.6,25.32
Ancud,0,CL,1620236794,66,-41.8697,-73.8203,53.6,5.75
Bonthe,93,SL,1620236794,71,7.5264,-12.505,83.17,12.53
Daru,99,PG,1620236795,77,-9.0763,143.2092,79.29,11.61
Elizabeth City,1,US,1620236795,57,36.2946,-76.2511,81.0,14.97
Cassilândia,3,BR,1620236795,15,-19.1133,-51.7342,91.96,2.17
Raja,83,SS,1620236795,46,8.4596,25.678,83.41,1.1
Bahir Dar,100,ET,1620236720,83,11.5936,37.3908,65.32,3.44
Fairbanks,40,US,1620236796,66,64.8378,-147.7164,48.99,5.08
Palm Coast,1,US,1620236796,51,29.585,-81.2078,93.99,12.66
Chapais,90,CA,1620236796,93,49.7834,-74.8492,44.6,5.75
Carberry,20,CA,1620236796,39,49.8689,-99.3602,46.4,5.75
Nouakchott,1,MR,1620236797,50,18.0858,-15.9785,78.8,21.85
Winnemucca,1,US,1620236797,24,40.973,-117.7357,66.2,12.66
Jinchang,0,CN,1620236797,13,38.4953,102.1739,54.81,7.92
Standerton,21,ZA,1620236797,72,-26.9337,29.2415,54.0,2.21
Hereclean,0,RO,1620236798,52,47.25,23.0167,64.4,6.91
Roald,0,NO,1620236798,37,62.5833,6.1333,51.8,5.75
Codrington,3,AU,1620236798,93,-38.2667,141.9667,46.24,6.89
Beringovskiy,100,RU,1620236799,86,63.05,179.3167,25.83,6.17
Dombarovskiy,15,RU,1620236799,58,50.7587,59.5386,51.35,16.22
Manitouwadge,90,CA,1620236799,70,49.1215,-85.8403,46.4,3.44
Laguna,1,US,1620236799,29,38.421,-121.4238,84.0,4.61
Inuvik,100,CA,1620236800,86,68.3499,-133.7218,26.6,8.05
Tessalit,2,ML,1620236800,6,20.1986,1.0114,101.05,11.05
Mayaky,100,UA,1620236800,62,47.4408,29.5599,53.33,16.69
Khatanga,38,RU,1620236800,90,71.9667,102.5,23.13,7.58
Nyurba,69,RU,1620236801,96,63.2842,118.3319,35.62,3.89
Beroroha,0,MG,1620236801,47,-21.6667,45.1667,67.05,0.58
Davila,10,PH,1620236801,75,18.4726,120.5763,82.2,7.05
Tacoronte,40,ES,1620236663,67,28.4769,-16.4102,63.0,14.97
Alakurtti,100,RU,1620236801,65,66.9672,30.3491,35.01,3.0
Pacific Grove,1,US,1620236802,67,36.6177,-121.9166,60.8,4.61
Muros,94,ES,1620236802,81,42.7762,-9.0603,66.0,13.0
Eilat,0,IL,1620236802,18,29.5581,34.9482,102.2,8.05
Monzón,20,ES,1620236525,37,41.9108,0.1941,75.99,14.97
Los Llanos de Aridane,40,ES,1620236802,60,28.6585,-17.9182,69.8,14.97
Chicama,90,PE,1620236803,94,-7.8447,-79.1469,64.4,8.05
Miles City,75,US,1620236803,50,46.4083,-105.8406,53.6,6.91
Brownwood,1,US,1620236803,42,31.7093,-98.9912,68.0,5.75
Chumikan,100,RU,1620236803,94,54.7183,135.315,29.39,16.75
Kudahuvadhoo,86,MV,1620236804,72,2.6708,72.8944,83.93,5.55
Terrace,90,CA,1620236798,70,54.5163,-128.6035,44.6,6.91
Ucluelet,90,CA,1620236649,87,48.9329,-125.5528,53.01,3.44
Novomikhaylovskiy,0,RU,1620236804,88,44.2581,38.8578,52.95,4.0
Bredy,24,RU,1620236804,58,52.4153,60.3411,50.49,18.66
Caravelas,13,BR,1620236805,66,-17.7125,-39.2481,80.15,7.63
Waipawa,75,NZ,1620236805,88,-41.4122,175.5153,61.0,13.8
Artyom,0,AZ,1620236805,71,40.4723,50.333,55.4,20.71
Vestmannaeyjar,20,IS,1620236806,65,63.4427,-20.2734,42.8,12.66
Kachug,50,RU,1620236806,91,53.9606,105.8817,27.86,4.38
Kununurra,21,AU,1620236806,88,-15.7667,128.7333,66.2,6.71
Yuzhno-Kurilsk,100,RU,1620236806,98,44.0306,145.8556,43.72,9.62
Bontang,100,ID,1620236807,88,0.1333,117.5,77.97,4.21
Mpongwe,34,ZM,1620236807,61,-13.5091,28.155,63.39,7.72
Bilma,1,NE,1620236807,5,18.6853,12.9164,96.44,6.91
Kempsey,90,AU,1620236807,100,-31.0833,152.8333,60.8,9.22
Selma,1,US,1620236808,29,36.5708,-119.6121,84.99,9.22
Neuquén,0,AR,1620236808,50,-38.9516,-68.0591,55.4,4.61
Chengzhong,0,CN,1620236592,60,30.95,113.55,69.8,2.24
Paracuru,90,BR,1620236535,75,-3.41,-39.0306,81.0,8.99
Batticaloa,100,LK,1620236808,78,7.7102,81.6924,82.31,5.37
Kwang Binh,83,VN,1620236809,91,17.4833,106.6,79.43,6.26
Buba,94,GW,1620236809,33,11.5833,-15.0,89.87,15.32
Ambilobe,18,MG,1620236809,90,-13.2,49.05,76.3,1.43
Yaan,51,NG,1620236809,60,7.3833,8.5667,84.24,11.97
Udachny,58,RU,1620236810,90,66.4167,112.4,32.52,5.5
Srednekolymsk,100,RU,1620236810,82,67.45,153.6833,27.23,2.66
Maceió,75,BR,1620236810,74,-9.6658,-35.7353,82.4,5.75
Salalah,40,OM,1620236810,74,17.0151,54.0924,86.0,8.05
Pisco,40,PE,1620236694,83,-13.7,-76.2167,70.0,10.36
Gunjur,0,GM,1620236811,61,13.2019,-16.7339,80.6,16.11
Carnarvon,87,AU,1620236811,94,-24.8667,113.6333,64.4,3.44
Antofagasta,0,CL,1620236615,72,-23.65,-70.4,73.99,12.66
Kruisfontein,58,ZA,1620236811,85,-34.0033,24.7314,70.0,3.0
Bereda,100,ES,1620236811,74,43.2686,-7.5406,63.0,10.0
Vao,10,NC,1620236812,86,-22.6667,167.4833,74.43,2.93
Qiongshan,0,CN,1620236812,94,20.0058,110.3542,78.8,4.47
Bayangol,8,RU,1620236812,71,50.6977,103.4656,23.7,4.88
Kidal,84,ML,1620236812,7,18.4411,1.4078,100.58,5.08
Nuevo Casas Grandes,44,MX,1620236519,15,30.4167,-107.9167,81.0,5.01
Sunrise Manor,1,US,1620236723,10,36.2111,-115.0731,87.01,14.97
Hofn,75,IS,1620236813,56,64.2539,-15.2082,37.4,9.22
Craig,20,US,1620236813,53,40.5153,-107.5464,50.0,12.66
San Quintín,0,MX,1620236813,60,30.4833,-115.95,68.77,9.1
Chui,98,UY,1620236814,56,-33.6971,-53.4616,59.4,10.02
Saldanha,43,ZA,1620236814,82,-33.0117,17.9442,60.8,9.22
Tocopilla,8,CL,1620236814,61,-22.092,-70.1979,72.95,7.18
Red Wing,75,US,1620236573,28,44.5625,-92.5338,57.99,4.61
Mwingi,98,KE,1620236814,84,-0.9344,38.0601,67.42,4.41
Panguipulli,90,CL,1620236815,93,-39.6333,-72.3333,46.4,2.3
Katsuura,100,JP,1620236815,92,35.1333,140.3,62.01,1.01
Gumdag,51,TM,1620236815,56,39.2061,54.5906,69.76,14.79
Banff,17,CA,1620236792,39,51.1762,-115.5698,46.4,3.44
Kavaratti,40,IN,1620236816,68,10.5669,72.642,85.78,3.11
Januária,9,BR,1620236816,24,-15.4833,-44.3667,92.39,2.82
Mahébourg,75,MU,1620236816,100,-20.4081,57.7,75.2,3.44
Ceyhan,0,TR,1620236816,94,37.0247,35.8175,71.6,6.91
Omboué,100,GA,1620236817,83,-1.5746,9.2618,78.78,5.75
Arraial do Cabo,0,BR,1620236817,65,-22.9661,-42.0278,87.8,12.66
Colac,8,AU,1620236817,1,-38.3333,143.5833,50.0,6.4
Simplício Mendes,96,BR,1620236817,50,-7.8539,-41.9103,84.0,6.38
Eidsvåg,0,NO,1620236818,40,62.7767,8.0668,51.8,13.8
Hobyo,69,SO,1620236818,73,5.3505,48.5268,85.12,11.32
Kumul,0,CN,1620236818,9,42.8,93.45,67.59,6.96
Sangar,100,RU,1620236818,88,63.9242,127.4739,34.86,3.33
Quatre Cocos,75,MU,1620236819,100,-20.2078,57.7625,78.01,3.44
Saint-Augustin,77,CA,1620236819,45,51.226,-58.6502,51.94,7.72
Ayan,100,RU,1620236819,91,56.45,138.1667,30.33,23.82
Laranjeiras do Sul,28,BR,1620236819,26,-25.4078,-52.4161,82.53,6.04
Longyearbyen,40,SJ,1620236820,73,78.2186,15.6401,21.2,10.36
Arman',33,RU,1620236820,89,59.7,150.1667,30.42,2.55
Vila Franca do Campo,40,PT,1620236820,88,37.7167,-25.4333,66.2,10.36
Doha,0,QA,1620236820,54,25.2867,51.5333,82.99,4.61
Tankhoy,82,RU,1620236821,88,51.5528,105.1306,27.14,5.59
Guerrero Negro,1,MX,1620236821,51,27.9769,-114.0611,72.34,5.08
Gibsons,99,CA,1620236821,71,49.3997,-123.5027,54.0,1.14
Najrān,40,SA,1620236821,15,17.4924,44.1277,86.0,5.75
Artesia,1,US,1620236782,68,33.8658,-118.0831,77.0,4.61
Yerbogachën,100,RU,1620236822,98,61.2767,108.0108,34.21,6.35
Balkanabat,51,TM,1620236822,58,39.5108,54.3671,69.42,9.01
Jiaojiang,22,CN,1620236822,48,28.6803,121.4428,59.0,2.77
Cherskiy,94,RU,1620236823,88,68.75,161.3,16.61,3.53
Bilibino,100,RU,1620236823,91,68.0546,166.4372,18.01,1.99
Port Hedland,90,AU,1620236823,100,-20.3167,118.5667,73.4,2.3
Oildale,1,US,1620236823,23,35.4197,-119.0195,84.99,3.44
Muyezerskiy,100,RU,1620236824,76,63.9333,31.65,32.52,7.65
Te Anau,30,NZ,1620236824,88,-45.4167,167.7167,42.24,0.29
Divnomorskoye,0,RU,1620236824,82,44.5011,38.1353,52.79,6.49
Cabcaben,20,PH,1620236824,70,14.454,120.5914,84.2,4.61
Binga,14,ZW,1620236825,60,-17.6203,27.3414,67.55,3.31
Batemans Bay,100,AU,1620236825,65,-35.7167,150.1833,66.99,14.43
Caucayá,88,CO,1620236825,63,-0.1934,-74.7819,87.06,1.97
Atar,2,MR,1620236826,10,20.5169,-13.0499,92.52,13.15
Minot,40,US,1620236826,47,48.2325,-101.2963,55.4,10.36
Eyl,7,SO,1620236826,70,7.9803,49.8164,84.6,10.49
Hashtrūd,49,IR,1620236826,63,37.4779,47.0508,55.45,1.77
Ostrovnoy,100,RU,1620236827,88,68.0531,39.5131,30.06,10.92
The Valley,40,AI,1620236827,65,18.217,-63.0578,84.2,18.41
Tianpeng,40,CN,1620236827,94,30.9866,103.9393,60.8,4.47
Saint George,1,US,1620236827,17,37.1041,-113.5841,81.0,0.81
Lagoa,26,PT,1620236828,93,39.05,-27.9833,62.29,16.13
Sisimiut,38,GL,1620236828,79,66.9395,-53.6735,32.86,8.12
Butler,75,US,1620236828,51,39.4501,-84.5666,60.01,14.97
Klaksvík,75,FO,1620236828,70,62.2266,-6.589,39.2,24.16
Lubao,40,PH,1620236829,69,14.9167,120.55,82.4,2.3
High Level,20,CA,1620236829,43,58.5169,-117.136,48.2,3.44
